59,646.25
62,630.5
64,630.25
66,642.0
68,656.25
70,709.0
72,698.0
74,695.5
77,454.0
79,474.25
82,417.25
84,428.5
90,445.75
92,404.5
95,379.0
97,358.75
99,330.25
103,328.5
106,318.0
108,319.25
110,314.5
112,295.25
115,296.25
116,305.5
118,322.25
121,321.75
123,322.25
125,333.25
126,347.5
180,132.25
180,134.5
193,167.75
195,152.0
197,142.75
200,138.0
201,134.75
205,132.75
207,130.75
208,128.5
211,129.25
213,128.5
221,128.5
222,129.5
226,128.75
230,130.0
232,131.0
236,135.75
239,344.75
238,1008.0
307,945.75
309,950.0
311,922.5
314,864.75
316,838.25
318,809.25
320,833.0
322,826.25
324,855.0
326,921.25
