dataset/2017-06-22-11:08:05,-81.01701354980469,29.15238380432129,71.4020004272461,0.2084999978542328
dataset/2017-06-22-11:08:07,-81.01701354980469,29.15238380432129,73.06800079345703,0.21160000562667847
dataset/2017-06-22-11:08:08,-81.01702117919922,29.152381896972656,73.56300354003906,0.2076999992132187
dataset/2017-06-22-11:08:09,-81.01702117919922,29.152381896972656,73.9010009765625,0.21359999477863312
dataset/2017-06-22-11:08:11,-81.01702117919922,29.152381896972656,73.88500213623047,0.2125999927520752
dataset/2017-06-22-11:08:12,-81.01702117919922,29.152381896972656,73.4520034790039,0.19869999587535858
dataset/2017-06-22-11:08:12,-81.01702117919922,29.152381896972656,73.55000305175781,0.21070000529289246
dataset/2017-06-22-11:08:13,-81.01702117919922,29.152381896972656,73.63700103759766,0.21359999477863312
dataset/2017-06-22-11:08:13,-81.01702117919922,29.152381896972656,73.66799926757812,0.21250000596046448
dataset/2017-06-22-11:08:14,-81.01702117919922,29.152381896972656,73.67400360107422,0.21160000562667847
dataset/2017-06-22-11:08:15,-81.01702117919922,29.152381896972656,73.73300170898438,0.21250000596046448
dataset/2017-06-22-11:17:38,-81.01702117919922,29.152360916137695,153.05999755859375,-0.01119999960064888
dataset/2017-06-22-11:17:39,-81.01701354980469,29.152359008789062,153.08599853515625,-0.03530000150203705
dataset/2017-06-22-11:17:40,-81.01701354980469,29.152360916137695,153.1219940185547,-0.021299999207258224
dataset/2017-06-22-11:17:41,-81.01701354980469,29.15235996246338,153.13699340820312,-0.028300000354647636
dataset/2017-06-22-11:17:42,-81.01701354980469,29.152359008789062,154.36700439453125,-0.02630000002682209
dataset/2017-06-22-11:36:41,-81.01701354980469,29.152385711669922,151.53500366210938,-0.0885000005364418
dataset/2017-06-22-11:36:42,-81.01701354980469,29.152385711669922,151.4770050048828,-0.08510000258684158
dataset/2017-06-22-11:36:43,-81.01701354980469,29.15238380432129,151.50999450683594,-0.0835999995470047
dataset/2017-06-22-11:36:45,-81.01701354980469,29.152381896972656,151.43099975585938,-0.08649999648332596
dataset/2017-06-22-11:36:46,-81.01700592041016,29.152379989624023,151.37100219726562,-0.08649999648332596
dataset/2017-06-22-11:36:47,-81.01700592041016,29.152379989624023,151.33900451660156,-0.08460000157356262
dataset/2017-06-22-11:36:49,-81.01700592041016,29.15237808227539,151.26600646972656,-0.08259999752044678
dataset/2017-06-22-11:36:50,-81.01700592041016,29.15237808227539,151.21400451660156,-0.08749999850988388
dataset/2017-06-22-11:36:51,-81.01700592041016,29.15237808227539,151.16700744628906,-0.08649999648332596
dataset/2017-06-22-11:36:53,-81.01700592041016,29.15237808227539,151.125,-0.08460000157356262
dataset/2017-06-22-11:36:54,-81.01700592041016,29.15237808227539,151.07699584960938,-0.08950000256299973
dataset/2017-06-22-11:36:55,-81.01700592041016,29.152376174926758,151.0290069580078,-0.08460000157356262
dataset/2017-06-22-11:36:57,-81.01701354980469,29.152376174926758,150.98800659179688,-0.08649999648332596
dataset/2017-06-22-11:36:58,-81.01701354980469,29.152374267578125,150.93899536132812,-0.0885000005364418
dataset/2017-06-22-11:36:59,-81.01701354980469,29.152372360229492,150.88800048828125,-0.08560000360012054
dataset/2017-06-22-11:37:00,-81.01701354980469,29.152372360229492,150.86099243164062,-0.09929999709129333
dataset/2017-06-22-11:37:02,-81.01701354980469,29.15237045288086,150.81399536132812,-0.07859999686479568
dataset/2017-06-22-11:37:03,-81.01701354980469,29.152372360229492,150.78399658203125,0.13300000131130219
dataset/2017-06-22-11:37:04,-81.01701354980469,29.152372360229492,150.7480010986328,-0.24449999630451202
dataset/2017-06-22-11:37:06,-81.01702117919922,29.152372360229492,150.6790008544922,-0.2387000024318695
dataset/2017-06-22-11:37:07,-81.01702117919922,29.152372360229492,150.63900756835938,-0.24050000309944153
dataset/2017-06-22-11:37:08,-81.01702117919922,29.152372360229492,150.59300231933594,-0.24160000681877136
dataset/2017-06-22-11:37:10,-81.01702117919922,29.15237045288086,150.65899658203125,-0.24150000512599945
dataset/2017-06-22-11:37:11,-81.01702117919922,29.15237045288086,150.59100341796875,-0.2425999939441681
dataset/2017-06-22-11:37:12,-81.01702117919922,29.152368545532227,150.48599243164062,-0.23960000276565552
dataset/2017-06-22-11:37:14,-81.01702117919922,29.152366638183594,150.35499572753906,-0.23960000276565552
dataset/2017-06-22-11:37:15,-81.01702880859375,29.15236473083496,150.38900756835938,-0.243599995970726
dataset/2017-06-22-11:37:16,-81.01702880859375,29.15236473083496,150.66000366210938,-0.2433999925851822
dataset/2017-06-22-11:37:18,-81.01702880859375,29.152366638183594,150.53199768066406,-0.2493000030517578
dataset/2017-06-22-11:37:19,-81.01702880859375,29.152370262145997,155.17100524902344,-0.2533999979496002
dataset/2017-06-22-11:37:20,-81.01703643798828,29.152375411987304,170.0489959716797,-0.2838999927043915
dataset/2017-06-22-11:37:22,-81.01703643798828,29.152381896972656,-165.74200439453125,-0.29010000824928284
dataset/2017-06-22-11:37:23,-81.01703643798828,29.152387619018555,-129.6300048828125,-0.21549999713897705
dataset/2017-06-22-11:37:24,-81.01703643798828,29.15239143371582,-119.71600341796875,-0.1923999935388565
dataset/2017-06-22-11:37:26,-81.01702880859375,29.152387619018555,-119.74199676513672,-0.1923999935388565
dataset/2017-06-22-11:37:27,-81.01702880859375,29.152385711669922,-119.66999816894531,-0.1923999935388565
dataset/2017-06-22-11:37:28,-81.01702880859375,29.152385711669922,-113.65499877929688,-0.16670000553131104
dataset/2017-06-22-11:37:30,-81.01703643798828,29.15238380432129,-113.9990005493164,-0.16089999675750732
