74.66942701,  89.02568942,  80.63294498, 85.25214162,  115.44489882,  104.70038835
84.27848817,  69.20030166,  57.46866303,95.92151183,  98.666365,    68.59800363
68.68768565,  89.84690366,  90.48539936, 85.94110222,  137.52430846,  159.50702489
96.39166165,  99.74261383,  50.42025751,100.26139957,  127.61793039,   74.61375609
74.68665734,  114.83567245,  105.48017798, 83.34191409,  133.66908946,  112.18648868
89.60104636,  113.56125342,   48.36482491,95.39557526,  133.52095378,   70.81873365
90.43395581,  101.74467991,   44.80240869, 96.29611412,  120.61615925,   80.42416474
76.60691733,  107.54987249,   53.55200038, 86.17569137,  143.53708404,   75.44799962
82.08529242,  113.01580251,   62.58503115, 86.01912525,  134.0283742,    89.25432628
91.6374599,   90.39977627,  34.75181491, 99.23210531,  135.68718026,  122.79890973
92.35151756,  92.05197874,  31.68138434, 98.18130097,  134.23373554,  101.81668516
92.14228432,  79.40412161,  40.31438848, 99.675176,    126.72286251,  113.89989723
87.38555656,   98.24412241,  107.62977468, 99.74837201,  166.93444902,  161.6291539 
86.46887732,  88.97118669,  35.51902034,95.92746414,  139.8275938,    99.41390649
91.22727526,  123.35540458,   87.53529877,94.85757323 , 158.0094439,   142.82752951
78.92910268,  105.66891627,   37.86248525,85.95089732,  149.13108373,  125.57751475
85.3032899,   70.94926738,  59.83782344,93.1919482,   107.27930405,  126.58122418
98.8156772669,74.8557922727,78.1032632959,104.1509894,100.410874394,87.4634033708
104.700011886,70.4593458014,47.0849204717,110.470358484,107.866580124,70.6632276765
99.7805572938,71.2721681024,75.6546036074,104.219442706,92.2463504161,85.9009519482
100.004739954,69.1987805603,73.6656370739,107.215260046,89.7012194397,87.6743629261
102.928278011,90.5327642451,43.3401671263,107.698388655,109.120569088,50.6531662071
101.896706664,74.7675883822,77.1520814766,106.936626669,96.2562211416,86.645537571
101.871361424,78.3332738715,78.4203704051,106.205561653,97.0623305241,89.7224867377
101.509493777,71.8455736874,76.0125051937,109.247859164,97.8603086656,93.6051418651
100.642432835,96.6968371501,38.6762884133,106.434490241,121.821111568,48.0416603047
99.511412556,81.9776992302,92.2018663108,106.809100265,98.7787110262,99.2596721507
